pet_id,date,activity_type,duration_minutes,issue,resolution,owner_id,owner_age_group,pet_type,year_month
6901,2023-05-13,Health,0,Dental Cleaning,"Cleaning done, no dental issues",5150,46-55,Dog,2023-05
8705,2022-09-21,Health,0,Dental Cleaning,"Cleaning done, no dental issues",8337,66+,Rabbit,2022-09
9466,2022-07-17,Health,0,Annual Checkup,"All clear, healthy diet recommended",5373,26-35,Rabbit,2022-07
5578,2023-06-02,Resting,13,"","",5887,18-25,Cat,2023-06
3190,2022-04-20,Health,0,Dental Cleaning,"Cleaning done, no dental issues",6925,46-55,Fish,2022-04
3309,2023-04-03,Playing,,"","",3958,56-65,Hamster,2023-04
7891,2023-12-29,Health,0,Annual Checkup,"All clear, healthy diet recommended",6780,56-65,Dog,2023-12
1925,2022-06-20,Health,0,Annual Checkup,"All clear, healthy diet recommended",2797,46-55,Dog,2022-06
6518,2023-01-25,Resting,85,"","",12,46-55,Dog,2023-01
5789,2023-07-03,Walking,68,"","",885,26-35,Hamster,2023-07
5540,2023-08-22,Walking,18,"","",8158,56-65,Dog,2023-08
9124,2022-11-23,Health,0,Ear Infection,Medication and follow-up in 2 weeks for infection,6166,26-35,Rabbit,2022-11
3750,2022-12-30,Health,0,Injury,"Minor surgery performed, recovery monitored",9515,26-35,Dog,2022-12
3420,2023-09-02,Walking,22,"","",7822,66+,Fish,2023-09
5799,2023-01-19,Walking,,"","",7299,26-35,Fish,2023-01
3784,2023-09-07,Health,0,Annual Checkup,"Vaccination completed, next due in 1 year",6405,46-55,Fish,2023-09
1585,2023-04-23,Resting,48,"","",4135,18-25,Fish,2023-04
5323,2022-06-19,Health,0,Injury,"Sprain identified, rest and limited movement advised",6194,66+,Rabbit,2022-06
1159,2023-11-22,Playing,10,"","",3326,18-25,Cat,2023-11
9218,2023-03-26,Resting,58,"","",2552,26-35,Fish,2023-03
3001,2023-09-21,Playing,73,"","",9951,26-35,Cat,2023-09
2513,2023-03-14,Health,0,Annual Checkup,"All clear, healthy diet recommended",27,46-55,Dog,2023-03
9988,2023-11-16,Resting,72,"","",5933,56-65,Rabbit,2023-11
215,2022-12-10,Health,0,Annual Checkup,"Vaccination completed, next due in 1 year",8458,26-35,Dog,2022-12
3466,2022-12-25,Resting,51,"","",446,46-55,Hamster,2022-12
8716,2023-05-28,Health,0,Ear Infection,Medication and follow-up in 2 weeks for infection,8087,66+,Dog,2023-05
5610,2022-10-15,Health,0,Injury,"Minor surgery performed, recovery monitored",9186,36-45,Fish,2022-10
6338,2022-12-03,Walking,27,"","",4094,46-55,Fish,2022-12
3224,2023-09-14,Health,0,Ear Infection,Medication and follow-up in 2 weeks for infection,5059,36-45,Cat,2023-09
9271,2022-04-16,Health,0,Annual Checkup,"Vaccination completed, next due in 1 year",6469,56-65,Rabbit,2022-04
7298,2023-10-26,Health,0,Dental Cleaning,"Cleaning done, no dental issues",9731,26-35,Cat,2023-10
7891,2023-04-22,Walking,9,"","",6780,56-65,Dog,2023-04
9960,2022-04-02,Health,0,Annual Checkup,Diet adjustment recommended for weight management,858,18-25,Cat,2022-04
3040,2023-07-24,Resting,4,"","",5637,18-25,Rabbit,2023-07
6454,2022-07-18,Health,0,Annual Checkup,"All clear, healthy diet recommended",3521,26-35,Hamster,2022-07
1343,2023-12-29,Health,0,Dental Cleaning,"Cleaning done, no dental issues",6225,18-25,Hamster,2023-12
1006,2022-07-05,Walking,49,"","",4000,18-25,Cat,2022-07
9186,2023-04-25,Resting,47,"","",948,66+,Rabbit,2023-04
6089,2022-05-11,Health,0,Injury,"Sprain identified, rest and limited movement advised",4702,18-25,Fish,2022-05
8967,2023-04-30,Health,0,Injury,"Sprain identified, rest and limited movement advised",2752,66+,Dog,2023-04
5194,2022-09-17,Walking,25,"","",1201,56-65,Dog,2022-09
2726,2022-11-18,Health,0,Injury,Physical therapy recommended for joint issues,6618,56-65,Fish,2022-11
6467,2023-10-15,Resting,21,"","",7672,26-35,Fish,2023-10
3936,2022-10-17,Playing,90,"","",7063,26-35,Hamster,2022-10
8244,2022-04-03,Resting,64,"","",5743,66+,Fish,2022-04
6731,2022-12-30,Health,0,Annual Checkup,Diet adjustment recommended for weight management,2075,46-55,Dog,2022-12
7716,2022-08-19,Health,0,Injury,"Sprain identified, rest and limited movement advised",342,66+,Cat,2022-08
7080,2023-05-17,Health,0,Dental Cleaning,"Cleaning done, no dental issues",9742,66+,Cat,2023-05
1366,2022-11-25,Walking,33,"","",818,56-65,Dog,2022-11
6939,2023-02-27,Resting,,"","",3445,46-55,Rabbit,2023-02
2415,2022-08-03,Health,0,Annual Checkup,"All clear, healthy diet recommended",359,46-55,Rabbit,2022-08
5799,2022-07-17,Resting,83,"","",7299,26-35,Fish,2022-07
9445,2023-08-16,Playing,79,"","",3664,18-25,Dog,2023-08
1169,2023-01-30,Walking,22,"","",1614,56-65,Cat,2023-01
8805,2023-08-05,Resting,80,"","",4944,46-55,Hamster,2023-08
6534,2023-07-08,Health,0,Injury,Physical therapy recommended for joint issues,2761,26-35,Cat,2023-07
4947,2022-10-20,Health,0,Annual Checkup,"Vaccination completed, next due in 1 year",9337,56-65,Rabbit,2022-10
5406,2022-08-07,Resting,10,"","",9906,66+,Fish,2022-08
5958,2022-12-21,Walking,,"","",5210,36-45,Fish,2022-12
